Year,ID,Enrollment_Status,BIPOC,Household_Size,,rowNum,colNum
2022,1346,Unenrolled,At least one BIPOC,Multiple children,,74,1630
2022,1399,Unenrolled,At least one BIPOC,Multiple children,,75,413
2022,1459,Unenrolled,At least one BIPOC,Multiple children,,76,1449
2022,1726,Unenrolled,At least one BIPOC,Multiple children,,77,1521
2022,1584,Enrolled,At least one BIPOC,Multiple children,,78,786
2022,1149,Unenrolled,At least one BIPOC,Single child,,79,1668
2022,420,Unenrolled,At least one BIPOC,Single child,,80,1969
2022,1069,Unenrolled,All White,Multiple children,,81,687
2022,1070,Unenrolled,All White,Single child,,82,949
2022,1080,Unenrolled,At least one BIPOC,Multiple children,,83,1879
2022,1150,Unenrolled,At least one BIPOC,Single child,,84,1123
2022,1219,Unenrolled,At least one BIPOC,Single child,,85,61
2022,1257,Unenrolled,All White,Multiple children,,86,374
2022,1293,Unenrolled,All White,Multiple children,,87,1895
2022,1384,Unenrolled,All White,Multiple children,,88,1988
2022,1624,Unenrolled,At least one BIPOC,Single child,,89,883
2022,1655,Unenrolled,At least one BIPOC,Single child,,90,1237
2022,1671,Unenrolled,All White,Single child,,91,1291
2022,1772,Unenrolled,All White,Single child,,92,602
2022,1807,Unenrolled,All White,Single child,,93,1272
2022,1845,Unenrolled,All White,Single child,,94,334
2022,1887,Enrolled,At least one BIPOC,Single child,,95,801
2022,1111,Unenrolled,At least one BIPOC,Single child,,96,327
2022,1157,Unenrolled,At least one BIPOC,Multiple children,,97,1975
2022,1171,Unenrolled,At least one BIPOC,Multiple children,,98,1568
2022,1206,Unenrolled,All White,Multiple children,,99,1039
2022,1270,Unenrolled,At least one BIPOC,Multiple children,,100,1560
2022,1383,Unenrolled,At least one BIPOC,Multiple children,,101,1603
2022,1456,Unenrolled,All White,Single child,,102,130
2022,1592,Unenrolled,At least one BIPOC,Single child,,103,1995
2022,1631,Unenrolled,All White,Multiple children,,104,741
2022,1663,Unenrolled,At least one BIPOC,Single child,,105,1887
2022,1689,Unenrolled,All White,Single child,,106,583
2022,1732,Unenrolled,At least one BIPOC,Multiple children,,107,686
2022,1815,Unenrolled,At least one BIPOC,Single child,,108,1611
2022,1866,Enrolled,All White,Single child,,109,440
2022,1898,Enrolled,All White,Multiple children,,110,540
2022,1128,Unenrolled,At least one BIPOC,Single child,,111,211
2022,1158,Unenrolled,At least one BIPOC,Single child,,112,1272
2022,1284,Unenrolled,,Single child,,113,234
2022,1367,Unenrolled,All White,Single child,,114,451
2022,1388,Unenrolled,At least one BIPOC,Single child,,115,84
2022,1638,Unenrolled,All White,Single child,,116,1117
2022,1853,Unenrolled,At least one BIPOC,Single child,,117,289
2022,1882,Unenrolled,At least one BIPOC,Single child,,118,883
2022,1101,Enrolled,At least one BIPOC,Single child,,119,535
2022,1142,Enrolled,At least one BIPOC,Multiple children,,120,1365
2022,1161,Enrolled,At least one BIPOC,Multiple children,,121,196
2022,1660,Enrolled,All White,Single child,,122,461
2022,1835,Enrolled,At least one BIPOC,Multiple children,,123,1862
2022,1922,Enrolled,At least one BIPOC,Multiple children,,124,1998
2022,2246,Enrolled,All White,Multiple children,,125,1582
2022,2327,Enrolled,At least one BIPOC,Single child,,126,245
2022,2365,Enrolled,At least one BIPOC,Single child,,127,562
2022,2396,Enrolled,All White,Multiple children,,128,1233
2022,2411,Enrolled,At least one BIPOC,Single child,,129,1081
2022,2450,Enrolled,At least one BIPOC,Single child,,130,957
2022,2484,Enrolled,All White,Multiple children,,131,864
2022,1943,Unenrolled,At least one BIPOC,Single child,,132,492
2022,2003,Unenrolled,At least one BIPOC,Single child,,133,136
2022,2020,Unenrolled,At least one BIPOC,Multiple children,,134,52
